OP-Code(MNEM)   ALU_Mode    Inc     RAM_we  Reg_we  A_en    B_en    Flags_we
0(NOP)          ADD         0       0       0       0       0       0
1(LD/MOV)       ADD         0       0       1       1       0       1
2(ST/SET)       ADD         0       1       0       1       1       0
3(INC)          ADD         1       0       1       1       0       1
4(DEC)          SUB         1       0       1       1       0       1
5(ADD)          ADD         0       0       1       1       1       1
6(SUB)          SUB         0       0       1       1       1       1
7(MUL)          MUL         0       0       1       1       1       1
8(DIV)          DIV         0       0       1       1       1       1
9(CMP)          CMP         0       0       0       1       1       1
10(SH)          SHIFT       0       0       1       1       1       1
11(CPA)         COMP_A      0       0       1       1       0       0
12(COND)        ADD         0       0       0       1       1       0
13(AND)         AND         0       0       1       1       1       1
14(OR)          OR          0       0       1       1       1       1
15(XOR)         XOR         0       0       1       1       1       1
16(MOD)         MOD         0       0       1       1       1       1
17(HLT)         ADD         0       0       0       0       0       0
18(SD)          ADD         0       0       0       1       1       0
19(FADD)        ADDF        0       0       1       1       1       1
20(FSUB)        SUBF        0       0       1       1       1       1
21(FMUL)        MULF        0       0       1       1       1       1
22(FDIV)        DIVF        0       0       1       1       1       1
23(FCMP)        CMPF        0       0       0       1       1       1
24(PUSH)        ADD         0       0       0       1       0       0
25(POP)         ADD         0       0       1       0       0       0
26(SWR)         ADD         0       0       0       0       0       0
